product_name,price_daymart,price_bluemart,price_lulu,category
Kellogg's Honey Smacks 375g  ,19.5,21.99,14.75,Cereals and bars
Kellogg's Corn Flakes 500g ,17.9,18.5,10.95,Cereals and bars
Kelloggs Frosties 230g  ,14.25,16,9.15,Cereals and bars
Kellogg`S Crunchy Muesli Chocolate 380G  ,,18.99,12.7,Cereals and bars
Kellogg'S Coco Pops 375Gm ,18.5,24,16.75,Cereals and bars
Kellogg'S Crunchy Muesli Fruits 380Gm  ,,15,12.61,Cereals and bars
Alpro Drink Coconut Original 1L,20.99,21.98,14.5,Drinks and Juices
Alpro Soya Drink Unsweetened,,17,11.95,Drinks and Juices
Alpro Soya Original Drink 1Lt,16.99,17,12.5,Drinks and Juices
Alpro Drink Almond Unsweetened 1Lt,20.99,22,14.25,Drinks and Juices
Lacnor Apple Juice 1 Ltr,6.25,6.5,5,Drinks and Juices
Nescafe Classic 3 In 1 20G ,32,32,29.95,Tea and Coffee
Nescafe Gold Jar 200 Gm,41.5,49.48,38.95,Tea and Coffee
Nescafe Red Mug 200G,33.5,33.5,29.9,Tea and Coffee
Nestle Coffee Mate Cremer Jar 400G ,14.95,13.65,13.5,Tea and Coffee
Lipton Extra Strong Tea Bag 25S,6.99,7.5,6,Tea and Coffee
Al Shifa Honey Natural 250Gm,19.25,18,15.75,Spreads
Nectaflor Honey Moutn 250G Jar,29.51,32,21,Spreads
Nutella 350 Gm,14.99,17.98,11.81,Spreads
Nature Valley Protein Peanut & Choco 40Gm ,5.5,7,4.25,Cereals and bars
Nature Valley Protein Salted Caramel Nut 40Gm,5.5,8,4.25,Cereals and bars
Nature Valley Crunchy Oats&Coconut,3.75,3.68,1,Cereals and bars
Oreo Mini 67 Gm,6.25,7.01,5.2,Snacks
Cadbruy Dairy Milk Hazelnut 227Gm,12.25,13.99,10,Snacks
Cadburry Dairy Milk Oreo 95G,8.51,8.5,6.67,Snacks
Cadbury Dairy Milk Chocolate 230Gm,12.25,13.75,10,Snacks
Cadbury Dairy Milk Fruit & Nut 230Gm,12.25,13.74,10,Snacks
Lindt Excellence 70% Cocoa 100Gm,14.5,17.5,13.2,Snacks
Lindt Excellence Cocoa 85% 100Gm,14.39,17.51,13.15,Snacks
Lindt Excellence Cocoa 90% 100Gm,15.7,17.5,13.2,Snacks
Kallo Low Fat Rice Cakes 130Gm,,14,10,Snacks
Kallo Rice Cake No Added Salt 130Gm,10.5,14,10,Snacks
Probar Meal Peanut Butter Chocolate Chip 85G,,24,16.9,Cereals and bars
Lays Chilli 185g,,8.5,7.45,Snacks
Lays Forno Auth Cheese 170g,7.99,10.5,7.7,Snacks
Lays Forno Black Pepper 170g,7.99,10.5,7.7,Snacks
Indomie Cup Noodles Beef 60g,3.5,3.75,2.65,Instant noodles
Indomie Cup Noodles Chicken 60g,3.5,3.75,3.25,Instant noodles
Indomie Cup Noodles Curry 60g,3.5,3.5,2.65,Instant noodles
Indomie Cup Noodles Fried Migoreng 75g,3.75,5.51,3.8,Instant noodles
Indomie Cup Noodles Vegetable 60g,3.5,3.5,2.65,Instant noodles
Koka Bowl Noodles Chicken 90g,5.75,5.25,4.2,Instant noodles
Koka Bowl Noodles Seafood 90g,5.75,5.25,3.15,Instant noodles
Koka Bowl Noodles Tom Yam 90g,5.75,5.76,4.2,Instant noodles
Koka Cup Noodles Beef 70g,4.25,4.05,3.15,Instant noodles
Koka Cup Noodles Vegetable 70g,4,4.5,3.15,Instant noodles
Paldo Chajang Noodle Cup 190g,,5.99,5.75,Instant noodles
Paldo Jumbo Noodle Seafood Flavor 110g,,5.51,5,Instant noodles
Bayara Almonds Jumbo 400g,,28,21.95,Nuts and Seeds
Bayara Cashew Roasted 200g,21,23,18.4,Nuts and Seeds
Bayara Extra Mixed Nuts 150g,,22,15.25,Nuts and Seeds
Bayara Mixed Dried Fruits & Nuts 400g,,22,20.5,Nuts and Seeds
Bayara Pista Roasted 200g,,25,19.5,Nuts and Seeds
Always Large With Wings 30,18,15,11.35,Toiletries
Carefree Duo Effect Intimate Foam Gt+Av 150Ml,52.5,43,44.5,Toiletries
Carefree Flexi Comfort Cotton 12/20 Pcs,13.6,16.01,14,Toiletries
Closeup Ever Fresh Menthol 50Ml,,5.99,3.45,Toiletries
Closeup Icy White Menthol T/Paste 100Ml,,15.01,11,Toiletries
Sensodyne T/Paste 75Ml Rapid Action,32.99,23,29.65,Toiletries
Sensodyne T/Paste 75Ml Rapid Action Whitening,34.5,36,29.65,Toiletries
Colgate 360 Tooth Brush Soft 72X1S,,27,25.5,Toiletries
Sensodyne T/Brush Multi Care Medium,,16,18.1,Toiletries
Colgate Plax Freshmint 250Ml,20.99,22.5,19.25,Toiletries
Listerine Cool Mint Mouthwash 250Ml,,18,18.4,Toiletries
Listerine Green Tea 250Ml,,31,23.45,Toiletries
Dettol Handwash Original 200Ml,15.75,17.5,12.55,Toiletries
Lifebouy Handwash Total10 200Ml,14.99,15.49,10.75,Toiletries
Dettol Soap Sensitive 165 Gm,,10,6.95,Toiletries
Lux Bar Aqua Sparkle 170G,,5.5,3.4,Toiletries
Lux Bar Silk Sensataion170G,,5.25,4.6,Toiletries
Pantene Shamp Perfect Curls 400Ml,,20.21,18.25,Toiletries
Pantene Shamp Sheer Volume 400Ml,,17,18.25,Toiletries
Dove Shamp Colour Care (Dlx) 12X400Ml,23.99,27,19.45,Toiletries
Dove Shampoo Thickening Ritual 400 Ml,27.99,32,23.5,Toiletries
Dettol Hand Sanitizer 50 Ml (Original),12.79,15,13.75,Toiletries
Glade A/F (Aerosols) Jasmine 300Ml,,16,9.45,Household Supplies
Masafi Tissues 150X2 Ply White ,,5.51,2.78,Household Supplies
Fine Toilet Roll Xl 10S,20.99,18,20.25,Household Supplies
Ariel Green 260g,4.5,4.99,4.25,Household Supplies
Disposable Face Mask 100pcs Box,,20,19.8,Household Supplies
Daxwell Gloves 100pcs Box,,32,32.5,Household Supplies
7Days Croissant Chocolate 55G,2,2.25,1.6,Baked goods
7Days Croissant Strawberry 55G,1.75,2.25,1.6,Baked goods
7Days Croissant Vanilla 55G,2,2.25,1.6,Baked goods
7Days Jumbo Croissant Hazelnu&Cocoa 100G,3.75,4,3.5,Baked goods
Lusine Brown Sandwich Bread 600 Gm,5.45,6.5,5.1,Baked goods
Lusine Milk Bread 600Gm,7.75,7.49,7,Baked goods
Lusine Multi Grain Sliced Bread 600 Gm,8.51,7.35,7,Baked goods
Lusine Soft White Slice Bread 620 Gm,5.45,5.98,4.6,Baked goods
