product_name,store,percentage_change,category,price
Kellogg's Honey Smacks 375g  ,daymart,-11.32332879,Cereals and bars,19.5
Kellogg's Corn Flakes 500g ,daymart,-3.243243243,Cereals and bars,17.9
Kelloggs Frosties 230g  ,daymart,-10.9375,Cereals and bars,14.25
Kellogg'S Coco Pops 375Gm ,daymart,-22.91666667,Cereals and bars,18.5
Alpro Drink Coconut Original 1L,daymart,-4.504094631,Drinks and Juices,20.99
Alpro Soya Original Drink 1Lt,daymart,-0.058823529410000006,Drinks and Juices,16.99
Alpro Drink Almond Unsweetened 1Lt,daymart,-4.590909091,Drinks and Juices,20.99
Lacnor Apple Juice 1 Ltr,daymart,-3.8461538460000004,Drinks and Juices,6.25
Nescafe Classic 3 In 1 20G ,daymart,0.0,Tea and Coffee,32.0
Nescafe Gold Jar 200 Gm,daymart,-16.12772838,Tea and Coffee,41.5
Nescafe Red Mug 200G,daymart,0.0,Tea and Coffee,33.5
Nestle Coffee Mate Cremer Jar 400G ,daymart,9.523809523999999,Tea and Coffee,14.95
Lipton Extra Strong Tea Bag 25S,daymart,-6.8,Tea and Coffee,6.99
Al Shifa Honey Natural 250Gm,daymart,6.944444444,Spreads,19.25
Nectaflor Honey Moutn 250G Jar,daymart,-7.78125,Spreads,29.51
Nutella 350 Gm,daymart,-16.62958843,Spreads,14.99
Nature Valley Protein Peanut & Choco 40Gm ,daymart,-21.42857143,Cereals and bars,5.5
Nature Valley Protein Salted Caramel Nut 40Gm,daymart,-31.25,Cereals and bars,5.5
Nature Valley Crunchy Oats&Coconut,daymart,1.9021739130000002,Cereals and bars,3.75
Oreo Mini 67 Gm,daymart,-10.84165478,Snacks,6.25
Cadbruy Dairy Milk Hazelnut 227Gm,daymart,-12.43745533,Snacks,12.25
Cadburry Dairy Milk Oreo 95G,daymart,0.11764705880000001,Snacks,8.51
Cadbury Dairy Milk Chocolate 230Gm,daymart,-10.90909091,Snacks,12.25
Cadbury Dairy Milk Fruit & Nut 230Gm,daymart,-10.84425036,Snacks,12.25
Lindt Excellence 70% Cocoa 100Gm,daymart,-17.14285714,Snacks,14.5
Lindt Excellence Cocoa 85% 100Gm,daymart,-17.81838949,Snacks,14.39
Lindt Excellence Cocoa 90% 100Gm,daymart,-10.28571429,Snacks,15.7
Kallo Rice Cake No Added Salt 130Gm,daymart,-25.0,Snacks,10.5
Lays Forno Auth Cheese 170g,daymart,-23.904761899999997,Snacks,7.99
Lays Forno Black Pepper 170g,daymart,-23.904761899999997,Snacks,7.99
Indomie Cup Noodles Beef 60g,daymart,-6.666666667,Instant noodles,3.5
Indomie Cup Noodles Chicken 60g,daymart,-6.666666667,Instant noodles,3.5
Indomie Cup Noodles Curry 60g,daymart,0.0,Instant noodles,3.5
Indomie Cup Noodles Fried Migoreng 75g,daymart,-31.94192377,Instant noodles,3.75
Indomie Cup Noodles Vegetable 60g,daymart,0.0,Instant noodles,3.5
Koka Bowl Noodles Chicken 90g,daymart,9.523809523999999,Instant noodles,5.75
Koka Bowl Noodles Seafood 90g,daymart,9.523809523999999,Instant noodles,5.75
Koka Bowl Noodles Tom Yam 90g,daymart,-0.1736111111,Instant noodles,5.75
Koka Cup Noodles Beef 70g,daymart,4.938271605,Instant noodles,4.25
Koka Cup Noodles Vegetable 70g,daymart,-11.11111111,Instant noodles,4.0
Bayara Cashew Roasted 200g,daymart,-8.695652174,Nuts and Seeds,21.0
Always Large With Wings 30,daymart,20.0,Toiletries,18.0
Carefree Duo Effect Intimate Foam Gt+Av 150Ml,daymart,22.09302326,Toiletries,52.5
Carefree Flexi Comfort Cotton 12/20 Pcs,daymart,-15.05309182,Toiletries,13.6
Sensodyne T/Paste 75Ml Rapid Action,daymart,43.43478261,Toiletries,32.99
Sensodyne T/Paste 75Ml Rapid Action Whitening,daymart,-4.166666667,Toiletries,34.5
Colgate Plax Freshmint 250Ml,daymart,-6.711111111,Toiletries,20.99
Dettol Handwash Original 200Ml,daymart,-10.0,Toiletries,15.75
Lifebouy Handwash Total10 200Ml,daymart,-3.227888961,Toiletries,14.99
Dove Shamp Colour Care (Dlx) 12X400Ml,daymart,-11.14814815,Toiletries,23.99
Dove Shampoo Thickening Ritual 400 Ml,daymart,-12.53125,Toiletries,27.99
Dettol Hand Sanitizer 50 Ml (Original),daymart,-14.73333333,Toiletries,12.79
Fine Toilet Roll Xl 10S,daymart,16.61111111,Household Supplies,20.99
Ariel Green 260g,daymart,-9.819639279,Household Supplies,4.5
7Days Croissant Chocolate 55G,daymart,-11.11111111,Baked goods,2.0
7Days Croissant Strawberry 55G,daymart,-22.22222222,Baked goods,1.75
7Days Croissant Vanilla 55G,daymart,-11.11111111,Baked goods,2.0
